﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
ACHERES-VILLE;87381657;DIM;2022-11-20;2022;A;A;Avant 6h;39
BEYNES;87393363;SAM;2024-01-20;2024;N;N;De 10h à 16h;94
CHAMP-DE-COURSES-D'ENGHIEN;87276030;DIM;2024-01-21;2024;H;H;De 10h à 16h;727
CHAMP-DE-COURSES-D'ENGHIEN;87276030;SAM;2024-01-20;2024;H;H;Avant 6h;47
CHAMP-DE-MARS-TOUR-EIFFEL;87393058;DIM;2025-09-02;2025;C;C;Avant 6h;8
CHAMPLAN;87725457;JOB;2024-11-26;2024;T12;T12;De 6h à 10h;29
CHAPONVAL;87276162;JOB;2024-01-16;2024;H;H;De 16h à 20h;14
CHAMPBENOIST-POIGNY;87115873;JOB;2023-11-14;2023;P;P;De 10h à 16h;100
COUILLY-SAINT-GERMAIN-QUINCY;87116731;DIM;2023-09-17;2023;P;P;De 6h à 10h;15
CHARS;87381194;JOB;2024-01-16;2024;J;J6;De 16h à 20h;88
CHANGIS-SAINT-JEAN;87116509;JOB;2023-09-19;2023;P;P;Avant 6h;26
CREPY-EN-VALOIS;87271593;JOB;2024-01-16;2024;K;K;De 16h à 20h;124
CHAUMONT-EN-VEXIN;87381228;DIM;2024-01-21;2024;J;J6;De 6h à 10h;10
CHANGIS-SAINT-JEAN;87116509;JOB;2023-09-19;2023;P;P;De 10h à 16h;79
CHANTILLY-GOUVIEUX;87276113;JOB;2024-05-03;2024;D;D;Après 20h;13
CHATELET-LES-HALLES;87758607;JOB;2024-05-03;2024;D;D;Avant 6h;258
DOURDAN;87545525;JOB;2025-04-02;2025;C;C;Avant 6h;39
CHATELET-LES-HALLES;87758607;SAM;2024-02-03;2024;D;D;De 10h à 16h;14343
CHAUMONT-EN-VEXIN;87381228;JOB;2024-01-16;2024;J;J6;De 6h à 10h;219
DUGNY-LA-COURNEUVE;87697342;DIM;2021-11-21;2021;T11;T11;De 6h à 10h;127
CHELLES-GOURNAY;87116111;JOB;2022-03-22;2022;E;E;De 16h à 20h;1605
CHELLES-GOURNAY;87116111;DIM;2023-11-19;2023;P;P;Après 20h;348
CHEMIN-D'ANTONY;87546317;JOB;2025-06-02;2025;C;C;De 16h à 20h;227
CHEZY-SUR-MARNE;87116574;SAM;2023-09-16;2023;P;P;De 6h à 10h;20
EPLUCHES;87276147;DIM;2024-01-21;2024;H;H;De 6h à 10h;8
EPONE-MEZIERES;87386763;JOB;2025-01-04;2025;J;J5;De 16h à 20h;443
CONFLANS-FIN-D'OISE;87381459;JOB;2022-11-30;2022;A;A;De 16h à 20h;969
CRECY-LA-CHAPELLE;87116772;JOB;2023-09-19;2023;P;P;De 16h à 20h;61
ERAGNY-NEUVILLE;87381418;DIM;2024-01-21;2024;J;J6;Avant 6h;11
ERMONT-EAUBONNE;87276055;DIM;2025-09-02;2025;C;C;De 6h à 10h;338
CROUY-SUR-OURCQ;87116640;JOB;2023-09-19;2023;P;P;Avant 6h;12
CREIL;87276006;JOB;2024-05-03;2024;D;D;Après 20h;38
DOMONT;87276436;DIM;2024-01-21;2024;H;H;De 10h à 16h;676
CROUY-SUR-OURCQ;87116640;SAM;2023-09-16;2023;P;P;Avant 6h;0
DAMMARTIN-JUILLY-SAINT-MARD;87271536;JOB;2024-01-16;2024;K;K;Avant 6h;43
FRANCONVILLE-LE-PLESSIS-BOUCHARD;87276071;DIM;2025-09-02;2025;C;C;De 6h à 10h;348
FRANCONVILLE-LE-PLESSIS-BOUCHARD;87276071;JOB;2024-01-16;2024;H;H;Après 20h;197
FREINVILLE-SEVRAN;87113894;JOB;2021-09-21;2021;T4;T4;De 16h à 20h;530
GAGNY;87113514;SAM;2022-03-19;2022;E;E;Après 20h;334
GARCHES-MARNES-LA-COQUETTE;87382259;DIM;2024-01-21;2024;L;L2;Après 20h;90
GARGAN;87113860;JOB;2021-09-21;2021;T4;T4;De 16h à 20h;1935
ERAGNY-NEUVILLE;87381418;SAM;2024-01-20;2024;J;J6;Après 20h;107
ERMONT-EAUBONNE;87276055;SAM;2024-01-20;2024;H;H;Avant 6h;81
ETAMPES;87545137;DIM;2025-09-02;2025;C;C;Après 20h;78
ESBLY;87116327;DIM;2023-11-19;2023;P;P;De 16h à 20h;405
BALLANCOURT;87681437;JOB;2024-12-03;2024;D;D;De 6h à 10h;550
EVRY-VAL-DE-SEINE;87681361;SAM;2024-02-03;2024;D;D;De 10h à 16h;343
FERRIERES-FONTENAY;87684241;SAM;2024-01-20;2024;R;R;Avant 6h;2
BOIS-DE-SAINT-EUTROPE;87745984;DIM;2024-01-12;2024;T12;T12;Après 20h;3
BOUSSY-SAINT-ANTOINE;87682138;DIM;2024-03-03;2024;D;D;De 6h à 10h;350
BOUTIGNY;87681478;SAM;2024-02-03;2024;D;D;Avant 6h;2
FREINVILLE-SEVRAN;87113894;JOB;2021-09-21;2021;T4;T4;Avant 6h;88
GROS-NOYER-SAINT-PRIX;87276592;DIM;2024-01-21;2024;H;H;De 16h à 20h;319
BRUNOY;87682120;JOB;2024-05-03;2024;D;D;De 10h à 16h;1667
GENNEVILLIERS;87271205;DIM;2025-09-02;2025;C;C;De 16h à 20h;497
JUVISY;87545244;JOB;2024-02-04;2024;D;D;Après 20h;2560
CHAMPAGNE-SUR-SEINE;87682450;SAM;2024-01-20;2024;R;R;De 6h à 10h;104
JUVISY;87545244;JOB;2024-12-03;2024;D;D;Avant 6h;642
GROSLAY;87276360;DIM;2024-01-21;2024;H;H;De 10h à 16h;522
GUERARD-LA-CELLE-SUR-MORIN;87116269;SAM;2023-11-18;2023;P;P;De 6h à 10h;12
HERICY;87682435;JOB;2024-01-16;2024;R;R;De 6h à 10h;71
LA-DEFENSE;87382218;DIM;2024-01-21;2024;L;L2;De 16h à 20h;5511
LA-DEFENSE;87382218;JOB;2024-04-23;2024;U;U;De 6h à 10h;3415
CHATEAU-THIERRY;87116582;SAM;2023-09-16;2023;P;P;Avant 6h;43
LA-FERTE-ALAIS;87681452;DIM;2024-03-03;2024;D;D;De 16h à 20h;78
CHAVILLE-RIVE-DROITE;87382333;SAM;2024-08-06;2024;U;U;De 16h à 20h;101
LA-GRANDE-PAROISSE;87682476;DIM;2024-01-21;2024;R;R;Avant 6h;1
LA-NORVILLE-SAINT-GERMAIN-LES-ARPAJON;87545459;DIM;2025-09-02;2025;C;C;De 10h à 16h;174
CHAVILLE-VELIZY;87393173;SAM;2025-08-02;2025;C;C;De 6h à 10h;366
SEVRES-VILLE-D'AVRAY;87382341;SAM;2024-01-20;2024;L;L2;De 10h à 16h;813
COUILLY-SAINT-GERMAIN-QUINCY;87116731;SAM;2023-09-16;2023;P;P;De 6h à 10h;13
MONTRY-CONDE;87116400;SAM;2023-09-16;2023;P;P;De 6h à 10h;8
COULOMMIERS;87116301;JOB;2023-11-14;2023;P;P;De 16h à 20h;205
MORMANT;87116087;SAM;2023-11-18;2023;P;P;De 10h à 16h;152
CREIL;87276006;SAM;2024-02-03;2024;D;D;Avant 6h;122
MOUROUX;87116285;DIM;2023-11-19;2023;P;P;De 6h à 10h;10
THOMERY;87682252;DIM;2024-01-21;2024;R;R;De 16h à 20h;129
THUN-LE-PARADIS;87381822;JOB;2024-01-16;2024;J;J6;De 16h à 20h;153
MUSEE-D'ORSAY;87547307;SAM;2025-08-02;2025;C;C;De 6h à 10h;553
DAMMARTIN-JUILLY-SAINT-MARD;87271536;DIM;2024-01-21;2024;K;K;De 16h à 20h;54
NANTERRE-UNIVERSITE;87386318;JOB;2024-01-16;2024;L;L3;De 6h à 10h;2675
ECOUEN-EZANVILLE;87276394;DIM;2024-01-21;2024;H;H;De 16h à 20h;319
TRAITE-DE-ROME;87746016;JOB;2024-11-26;2024;T12;T12;De 16h à 20h;109
ERMONT-EAUBONNE;87276055;DIM;2024-01-21;2024;H;H;Avant 6h;51
TRAPPES;87393835;SAM;2024-04-27;2024;U;U;Après 20h;131
EVRY-COURCOURONNES;87681387;DIM;2024-03-03;2024;D;D;Avant 6h;93
VAL-D'ARGENTEUIL;87381798;DIM;2024-01-21;2024;J;J6;Après 20h;439
ORMOY-VILLERS;87271585;SAM;2024-01-20;2024;K;K;De 10h à 16h;3
VALMONDOIS;87276535;SAM;2024-01-20;2024;H;H;De 10h à 16h;421
PARC-DES-EXPOSITIONS;87271486;DIM;2019-03-17;2019;B;B;De 10h à 16h;531
FERRIERES-FONTENAY;87684241;SAM;2024-01-20;2024;R;R;De 10h à 16h;62
PARC-DU-CHATEAU;87745786;JOB;2024-11-26;2024;T12;T12;Après 20h;34
PARIS-GARE-DU-NORD;87271031;DIM;2019-03-17;2019;B;B;Avant 6h;1244
PARIS-GARE-DU-NORD;87271031;DIM;2019-03-17;2019;B;B;De 10h à 16h;30986
VERSAILLES-CHANTIERS;87393009;SAM;2025-08-02;2025;C;V;Avant 6h;11
PARIS-GARE-DU-NORD;87271031;DIM;2024-01-21;2024;K;K;De 16h à 20h;224
PARIS-GARE-DU-NORD;87271031;JOB;2023-10-10;2023;B;B;De 6h à 10h;46445
PARIS-MONTPARNASSE;87391003;SAM;2024-01-20;2024;N;N;Après 20h;5630
VILLENEUVE-SAINT-GEORGES;87681825;SAM;2024-02-03;2024;D;D;De 16h à 20h;4415
PARIS-SAINT-LAZARE;87384008;JOB;2024-01-16;2024;J;J4;Avant 6h;111
VILLENNES-SUR-SEINE;87386649;SAM;2021-04-12;2021;J;J5;Après 20h;48
PETIT-JOUY-LES-LOGES;87393504;SAM;2025-08-02;2025;C;V;De 6h à 10h;25
PETIT-VAUX;87393652;DIM;2024-01-12;2024;T12;T12;De 16h à 20h;36
VIROFLAY-RIVE-DROITE;87382887;DIM;2024-01-21;2024;L;L2;De 16h à 20h;502
GOUSSAINVILLE;87276246;DIM;2024-03-03;2024;D;D;De 10h à 16h;1945
PIERRELAYE;87276097;SAM;2025-08-02;2025;C;C;Avant 6h;7
GRETZ-ARMAINVILLIERS;87116012;SAM;2022-03-19;2022;E;E;De 6h à 10h;210
PLAISIR-GRIGNON;87393421;JOB;2024-01-16;2024;N;N;De 6h à 10h;3628
GROS-NOYER-SAINT-PRIX;87276592;SAM;2024-01-20;2024;H;H;Après 20h;148
PONT-CARDINET;87381111;SAM;2024-01-20;2024;L;L2;De 16h à 20h;671
VITRY-SUR-SEINE;87545293;JOB;2025-11-02;2025;C;C;De 6h à 10h;3576
ISLES-ARMENTIERES-CONGIS;87116616;DIM;2023-09-17;2023;P;P;Après 20h;4
ISSY-VAL-DE-SEINE;87393306;DIM;2025-09-02;2025;C;C;De 10h à 16h;891
JAVEL;87393066;JOB;2025-11-02;2025;C;C;De 10h à 16h;1383
JAVEL;87393066;SAM;2025-08-02;2025;C;C;Avant 6h;18
PONTOISE;87276139;DIM;2025-09-02;2025;C;C;De 10h à 16h;435
JOUY-EN-JOSAS;87393512;DIM;2025-09-02;2025;C;V;De 6h à 10h;42
PONTOISE;87276139;SAM;2024-01-20;2024;H;H;De 16h à 20h;1113
JUVISY;87545244;JOB;2025-06-02;2025;C;C;Après 20h;1555
RIS-ORANGIS;87681338;JOB;2024-12-03;2024;D;D;Avant 6h;131
L'ABBAYE;87113886;JOB;2021-09-21;2021;T4;T4;De 6h à 10h;592
ROMAIN-ROLLAND;87704296;DIM;2021-12-09;2021;T4;T4;Après 20h;102
ROSNY-BOIS-PERRIER;87113696;DIM;2022-03-20;2022;E;E;De 16h à 20h;2102
ROSNY-SOUS-BOIS;87113704;DIM;2022-03-20;2022;E;E;Après 20h;332
ROSNY-SUR-SEINE;87415885;JOB;2025-01-04;2025;J;J5;De 10h à 16h;24
RUNGIS-LA-FRATERNELLE;87546291;SAM;2025-08-02;2025;C;C;De 16h à 20h;86
SAINT-CYR;87393223;DIM;2023-10-15;2023;T13;T13;Après 20h;84
L'ISLE-ADAM-PARMAIN;87276527;SAM;2024-01-20;2024;H;H;Après 20h;104
SAINT-DENIS;87271015;JOB;2024-05-03;2024;D;D;De 6h à 10h;9012
SAINT-FARGEAU;87682542;SAM;2024-02-03;2024;D;D;Après 20h;3
